,date,country_code,0
13,20200328,GB,"{0: 'Tiger', 1: 'Lion', 2: 'Shark', 3: 'Dog', 4: 'Cat', 5: 'Emilia Fox', 6: 'Aldi opening times', 7: 'Wolf', 8: 'Liz Carr', 9: 'Turtle', 10: 'British Summer Time', 11: 'Earth Hour', 12: 'Sophie Ellis', 13: 'Alok Sharma', 14: 'Eagle', 15: 'Witness', 16: 'Virgin Atlantic', 17: 'Stronger', 18: 'Olly Murs girlfriend', 19: 'Girls Trip'}"
14,20200328,IE,"{0: 'Clocks change Ireland', 1: 'Tiger', 2: 'Lion', 3: 'Hozier', 4: '2km from home', 5: 'Tiger 3D', 6: 'Conor Connelly', 7: 'Covid-19 payment', 8: 'Dog', 9: 'NCT', 10: 'Elephant', 11: 'Nike', 12: 'Horse', 13: 'Panda', 14: 'Cat', 15: 'Wolf', 16: 'Bear', 17: 'Duck', 18: 'Monkey', 19: 'CIF'}"
15,20200328,NZ,"{0: 'Boris Johnson', 1: 'Tiger', 2: 'Until Tomorrow', 3: 'Lion', 4: 'Covid-19', 5: 'Lotto online nz', 6: 'Dog', 7: 'Cat', 8: 'Shark', 9: 'Panda', 10: 'Stuff news breaking', 11: 'Daylight savings', 12: 'Robocop', 13: 'Queen Elizabeth', 14: 'Duck', 15: 'Gloriavale', 16: 'Carrie Symonds', 17: 'Hedgehog', 18: 'Cristiano Ronaldo', 19: 'School of Rock'}"
16,20200328,US,"{0: 'John Callahan Actor', 1: 'Stimulus checks', 2: 'Jonesboro, AR', 3: 'Lion', 4: 'Dog', 5: 'Weather radar', 6: 'CARES Act', 7: 'Tom Coburn', 8: 'Cat', 9: 'James Dolan', 10: 'Horse', 11: 'Elephant', 12: 'Bear', 13: 'Wolf', 14: 'Penguin', 15: 'David Geffen', 16: 'Instacart strike', 17: 'Lizzie Borden', 18: 'Krispy Kreme donuts', 19: 'USNS Comfort'}"
17,20200328,ZA,"{0: 'Lion', 1: 'Tiger', 2: 'Patrice Motsepe', 3: 'Shark', 4: 'Tiger View in 3D', 5: 'Dog', 6: 'Elephant', 7: 'Snake', 8: 'Horse', 9: 'Cat', 10: 'Wolf', 11: 'Bear', 12: ""Moody's South Africa"", 13: 'Panda', 14: 'Woolworths online shopping', 15: '5G', 16: 'Duck', 17: 'Hedgehog', 18: 'Giraffe', 19: 'Monkey'}"
18,20200329,AU,"{0: 'WhatsApp', 1: 'Ben Cousins', 2: 'Coronavirus tips', 3: 'Moratorium', 4: 'Coronavirus Australia app', 5: 'Dancing With The Stars 2020', 6: 'Survivor Australia', 7: 'Coronavirus app download', 8: 'Ben Cousins documentary 2020', 9: 'Jigsaw puzzle', 10: 'Telehealth', 11: 'Weather radar', 12: 'Stacey MAFS', 13: 'Connie MAFS', 14: 'Fish', 15: 'Cow', 16: 'Shia LaBeouf', 17: 'Bird', 18: 'Whale', 19: 'Spider'}"
19,20200329,GB,"{0: 'Jack Grealish', 1: 'Alcohol ban', 2: 'UK time', 3: 'Clocks change forward', 4: 'Elephant', 5: 'Billy Joe Saunders', 6: 'James McAvoy', 7: 'Monkey', 8: 'Belarus', 9: 'Jenny Harries', 10: 'Bear', 11: 'Batwoman', 12: 'Alcohol', 13: 'Anthony Yarde', 14: 'Cards Against Humanity online', 15: 'Brooklyn 99', 16: 'Rabbit', 17: 'Shia LaBeouf', 18: 'Casino Royale', 19: 'Emergency footing'}"
20,20200329,IE,"{0: 'Jack Grealish', 1: 'Anne Doyle', 2: 'Shark', 3: 'What time is it in Ireland', 4: 'Ronan Keating', 5: 'Time', 6: 'Belarus', 7: 'Billy Joe Saunders', 8: 'Turtle', 9: 'Mass Online', 10: 'Eagle', 11: 'Adam Olden', 12: 'GOAT', 13: 'In the style', 14: 'Ozark cast', 15: 'Cards Against Humanity Online', 16: 'The journal ireland', 17: 'Gerard Butler', 18: 'Time ireland', 19: 'Rabbit'}"
21,20200329,NZ,"{0: 'Coronavirus tips', 1: 'Adrift', 2: 'Tiger View in 3D', 3: 'Nz Covid-19 cases', 4: 'Horse', 5: 'Elephant', 6: 'Wolf', 7: 'Penguin', 8: 'Matamata', 9: 'Bear', 10: 'Les Mills TVNZ', 11: 'Jurassic World 3', 12: 'Joe Walsh', 13: 'Greymouth', 14: 'Giraffe', 15: 'Girl missing', 16: 'Pug', 17: 'Goat', 18: 'Eagle'}"
22,20200329,US,"{0: 'Joe Diffie', 1: 'John Prine', 2: 'Elton John', 3: 'Tiger', 4: 'Garth Brooks', 5: 'Social distancing', 6: 'Liberty University', 7: 'Brene Brown', 8: 'Camila Cabello', 9: 'Sarah Jessica Parker', 10: 'John Prine songs', 11: 'Jeanine Pirro', 12: 'Shia LaBeouf', 13: 'Cards Against Humanity online', 14: 'Yamiche Alcindor', 15: 'Nier Replicant', 16: 'Sam Smith', 17: 'Jan Howard', 18: 'Bob Garff', 19: 'Daisy Keech'}"
23,20200329,ZA,"{0: 'Ntsiki Mazwai', 1: 'Covid-19 news', 2: 'Khayelitsha', 3: 'Queen Elizabeth', 4: 'Lion King', 5: 'Covid-19 news', 6: 'John Callahan', 7: 'Pablo Escobar', 8: 'Hola Bon Renaissance', 9: 'What is 5G', 10: 'Spider', 11: 'Donald Glover', 12: 'Bird'}"
24,20200330,AU,"{0: 'ATO', 1: 'Job keeper', 2: 'Stage 3 restrictions Victoria', 3: 'David Genat', 4: 'Drake', 5: 'John Prine', 6: 'Joe Diffie', 7: 'Bannerlord', 8: 'Lara Worthington', 9: 'Woolworths Basic box', 10: 'Flu vaccination', 11: 'Norman Swan', 12: 'Steve MAFS', 13: 'Good Friday 2020', 14: 'Alan Merrill', 15: 'Belarus', 16: 'Brandon Park Coles', 17: 'Zoom meetings', 18: 'Ken Shimura', 19: 'German finance minister'}"
25,20200330,GB,"{0: 'Houseparty', 1: 'Furlough', 2: 'Sophie Brussaux', 3: 'Tesco home delivery', 4: 'Furlough meaning', 5: 'EasyJet', 6: 'Club Penguin', 7: 'Coronavirus tips', 8: 'BrightHouse', 9: 'Dominic Cummings', 10: 'Tesco Opening times', 11: 'Michael Rosen', 12: 'Modern Warfare 2 remastered', 13: 'Helen McCrory', 14: 'John Prine', 15: 'Dominic Raab', 16: 'Joe Wicks workout', 17: 'Michael Jackson', 18: 'Liar', 19: 'Joe Diffie'}"
