date,day,month,year,cases,deaths,country,country_code,countryterritoryCode,popData2018,coronavirus,related_queries,trends_title,trends_traffic,cumsum_case,growth_rate
2020-04-08,8,4,2020,112,3,Australia,AU,AUS,24992369.0,54,,"{0: 'PS5 controller', 1: 'John Prine', 2: 'Valorant', 3: 'Jo Ferguson', 4: 'Job Keeper', 5: 'Happy Easter', 6: 'JobKeeper payment', 7: 'Quenton Leach', 8: 'Make me a drink', 9: 'Bruce Willis', 10: 'Passover', 11: 'Wuhan', 12: 'UK news', 13: 'Jack Dorsey', 14: 'Moon', 15: 'Xbox Series X', 16: 'Under Armour', 17: 'Extraction', 18: 'Pope Francis', 19: 'Battle of Britain'}","{0: '50K+', 1: '50K+', 2: '20K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '20K+', 7: '20K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '2K+', 18: '2K+', 19: '2K+'}",5956,1.880456682337139
2020-04-07,7,4,2020,100,6,Australia,AU,AUS,24992369.0,58,,"{0: 'Pink Moon', 1: 'Honor Blackman', 2: 'Daniel Andrews', 3: 'UFC 249', 4: 'North West Island', 5: 'Toyota recall', 6: 'David Icke', 7: 'Zoom meetings', 8: 'Kyly Clarke', 9: 'Anzac Day', 10: 'Pep Guardiola', 11: 'The Big Show Show', 12: 'COVID symptoms', 13: 'Quibi', 14: 'Flu vaccination 2020', 15: 'RBA', 16: 'Jay Benedict', 17: 'Showbags', 18: 'Black The Ripper', 19: 'Breathe'}","{0: '50K+', 1: '20K+', 2: '20K+', 3: '10K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}",5844,1.7111567419575633
2020-04-06,6,4,2020,57,2,Australia,AU,AUS,24992369.0,60,,"{0: 'Thank you coronavirus helpers', 1: 'Pell', 2: 'Boris Johnson', 3: 'Boris Johnson', 4: 'TAFE NSW', 5: 'JobKeeper', 6: 'Stacey Hampton', 7: 'Ezra Miller', 8: 'Full moon April 2020', 9: 'Vanuatu', 10: 'Adele', 11: 'Alexander Wang', 12: 'Em Rusciano', 13: 'Shane Fitzsimmons', 14: 'Zac Efron', 15: 'Swarovski', 16: 'Kyle Walker', 17: 'Duffy', 18: 'Idris Elba', 19: 'Good Friday'}","{0: '500K+', 1: '500K+', 2: '200K+', 3: '200K+', 4: '100K+', 5: '20K+', 6: '20K+', 7: '20K+', 8: '20K+', 9: '20K+', 10: '20K+', 11: '20K+', 12: '10K+', 13: '10K+', 14: '10K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}",5744,0.9923398328690808
2020-04-05,5,4,2020,139,4,Australia,AU,AUS,24992369.0,63,,"{0: 'Ruby Princess', 1: 'Queen Elizabeth', 2: 'Carrie Symonds', 3: 'Palm Sunday', 4: 'Zendaya', 5: 'Adelaide time', 6: 'House Rules 2020', 7: 'Elton John', 8: 'Ivan and Aleks', 9: 'Fantastic Four', 10: 'CBD Hotel Newcastle', 11: 'Marianne Faithfull', 12: 'Paige Spiranac', 13: 'Madonna', 14: 'The game movie', 15: 'Furlough', 16: 'Doris Day', 17: 'Ged Kearney', 18: 'Louis C.K', 19: 'Kirk Douglas'}","{0: '100K+', 1: '50K+', 2: '20K+', 3: '20K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '2K+', 18: '2K+', 19: '2K+'}",5687,2.4441709161244947
2020-04-04,4,4,2020,324,7,Australia,AU,AUS,24992369.0,64,,"{0: 'Daylight savings', 1: 'Bill Withers', 2: 'Logan Williams', 3: 'WrestleMania 36', 4: 'Valorant', 5: 'Andrew Jack', 6: 'Pink', 7: 'Chris Hemsworth', 8: 'Katy Perry', 9: 'Keir Starmer', 10: 'Mark McGowan', 11: 'Coffee and Kareem', 12: 'Sergio Rossi', 13: 'Halle Berry', 14: 'Captain Crozier', 15: 'Money Heist season 5', 16: 'Playboi Carti', 17: 'Corona beer', 18: 'Tales from the Loop', 19: 'Bom radar Brisbane'}","{0: '100K+', 1: '100K+', 2: '50K+', 3: '20K+', 4: '20K+', 5: '20K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}",5548,5.839942321557318
2020-04-03,3,4,2020,248,2,Australia,AU,AUS,24992369.0,61,,"{0: 'Coronavirus', 1: 'Coronavirus Tips', 2: 'Ivermectin', 3: 'Money Heist', 4: 'LaMelo Ball', 5: 'Viraclean', 6: 'Denise Richards', 7: 'Aldi opening times', 8: 'Amber Heard', 9: 'Eddie Murphy', 10: 'Ruby Princess cruises', 11: 'Resident Evil 3', 12: 'Dolly Parton', 13: 'Bernie Ecclestone', 14: 'Zac Efron', 15: 'Eddie Large', 16: '5G', 17: 'Tracks', 18: 'HBO', 19: 'Bruce Dawe'}","{0: '1M+', 1: '100K+', 2: '20K+', 3: '20K+', 4: '20K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '2K+', 19: '2K+'}",5224,4.747320061255743
2020-04-02,2,4,2020,269,1,Australia,AU,AUS,24992369.0,48,,"{0: 'Adam Schlesinger', 1: 'Free childcare', 2: 'Bunnings gym equipment', 3: 'Harry Potter at Home', 4: 'Jobs hub', 5: '6ix9ine', 6: 'COVID-19 news', 7: 'Leighton Meester', 8: 'Wimbledon', 9: 'KPMG', 10: 'CSIRO', 11: 'Peter Dutton', 12: 'Turkmenistan', 13: 'Humble Bundle', 14: 'Teri Hatcher', 15: 'Paige VanZant', 16: 'Josh Maja', 17: 'Pandemic leave', 18: 'Sunderland', 19: 'Samuel L. Jackson'}","{0: '50K+', 1: '50K+', 2: '20K+', 3: '10K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '5K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '2K+', 17: '2K+', 18: '2K+', 19: '2K+'}",4976,5.405948553054662
2020-04-01,1,4,2020,150,1,Australia,AU,AUS,24992369.0,51,,"{0: 'Dame Jean Macnamara', 1: 'Club Penguin', 2: 'Taronga TV', 3: 'Zoom meetings', 4: 'Andrew Forrest', 5: 'AFL Evolution 2', 6: 'Bottle shop', 7: 'Eddie McGuire', 8: 'Bing', 9: 'Jeff Grosso', 10: 'Final Fantasy 7 Remake', 11: 'Chris Cuomo', 12: 'Philippines', 13: 'Andrew Jack Star Wars', 14: 'Vogue Shopping Night', 15: 'Community', 16: 'Tom cruise', 17: 'Nipsey Hussle', 18: 'What is a Virus', 19: 'FF7 Remake'}","{0: '1M+', 1: '50K+', 2: '20K+', 3: '10K+', 4: '10K+', 5: '10K+', 6: '10K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '5K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '2K+', 18: '2K+', 19: '2K+'}",4707,3.186743148502231
2020-03-31,31,3,2020,464,3,Australia,AU,AUS,24992369.0,55,,"{0: 'April Fools pranks', 1: 'Jobseeker payment', 2: 'Stacey MAFS', 3: 'Houseparty hacked', 4: 'Survivor Australia', 5: 'Modern Warfare 2 Remastered', 6: 'Treasury', 7: 'John Van Lieshout', 8: 'Sole trader', 9: 'iPhone 12', 10: 'Steve Carell', 11: 'Backstreet Boys', 12: 'Van Gogh', 13: 'Furlough', 14: 'Jack Grealish', 15: 'David Geffen', 16: 'Chris Benoit', 17: 'Hand sanitizers', 18: 'Guardian news'}","{0: '100K+', 1: '50K+', 2: '20K+', 3: '20K+', 4: '10K+', 5: '10K+', 6: '5K+', 7: '5K+', 8: '5K+', 9: '5K+', 10: '5K+', 11: '5K+', 12: '2K+', 13: '2K+', 14: '2K+', 15: '2K+', 16: '2K+', 17: '2K+', 18: '2K+'}",4557,10.182137371077463
2020-03-30,30,3,2020,284,2,Australia,AU,AUS,24992369.0,60,,"{0: 'ATO', 1: 'Job keeper', 2: 'Stage 3 restrictions Victoria', 3: 'David Genat', 4: 'Drake', 5: 'John Prine', 6: 'Joe Diffie', 7: 'Bannerlord', 8: 'Lara Worthington', 9: 'Woolworths Basic box', 10: 'Flu vaccination', 11: 'Norman Swan', 12: 'Steve MAFS', 13: 'Good Friday 2020', 14: 'Alan Merrill', 15: 'Belarus', 16: 'Brandon Park Coles', 17: 'Zoom meetings', 18: 'Ken Shimura', 19: 'German finance minister'}","{0: '200K+', 1: '100K+', 2: '50K+', 3: '50K+', 4: '50K+', 5: '20K+', 6: '20K+', 7: '10K+', 8: '10K+', 9: '10K+', 10: '10K+', 11: '10K+', 12: '5K+', 13: '5K+', 14: '5K+', 15: '5K+', 16: '5K+', 17: '5K+', 18: '5K+', 19: '5K+'}",4093,6.938675787930613
